target_project,example_id,example_project,example_class_name,example_test_name,example_label
achilles,1,hbase,TestHLog,testAppend,flaky
achilles,2,hbase,TestFromClientSide,testRowsPut,flaky
achilles,3,ninja,ContextImplTest,testGetInputStreamEnforcingOfCorrectEncoding,non-flaky
achilles,4,spring-boot,SpringApplicationBuilderTests,parentFirstWithDifferentProfile,non-flaky
activiti,1,httpcore,TestThrottlingNHttpHandlers,testSimpleHttpPostsChunked,flaky
activiti,2,wildfly,SendToQueueIgnoreJTATest,sendIgnoreJTA,flaky
activiti,3,assertj-core,ObjectArrays_assertContainsExactly_Test,should_fail_if_actual_contains_all_given_values_in_different_order_according_to_custom_comparison_strategy,non-flaky
activiti,4,assertj-core,ShortArrays_assertDoesNotHaveDuplicates_Test,should_fail_if_actual_is_null,non-flaky
alluxio,1,hbase,TestScannersWithFilters,testRowFilter,flaky
alluxio,2,activiti,AsyncExclusiveJobsTest,testExclusiveJobs,flaky
alluxio,3,httpcore,TestConnPool,testLeaseRelease,non-flaky
alluxio,4,incubator-dubbo,URLTest,test_toFullString,non-flaky
ambari,1,wildfly,NamingSubsystemTestCase,testRejectionsEAP7,flaky
ambari,2,http-request,HttpRequestTest,getUrlEncodedWithSpace,flaky
ambari,3,incubator-dubbo,URLTest,test_addParameters,non-flaky
ambari,4,assertj-core,IntArrays_assertDoesNotContain_Test,should_throw_error_if_array_of_values_to_look_for_is_empty,non-flaky
assertj-core,1,hbase,TestStoreFile,testBasicHalfMapFile,flaky
assertj-core,2,okhttp,URLConnectionTest,requestBodySurvivesRetriesWithFixedLength,flaky
assertj-core,3,spring-boot,ManagedDependenciesTests,findArtifactId,non-flaky
assertj-core,4,wildfly,JaxrsSubsystemTestCase,testSchemaOfSubsystemTemplates,non-flaky
commons-exec,1,hbase,TestStoreFile,testBasicHalfMapFile,flaky
commons-exec,2,okhttp,URLConnectionTest,requestBodySurvivesRetriesWithFixedLength,flaky
commons-exec,3,incubator-dubbo,JavaSerializationTest,test_Long,non-flaky
commons-exec,4,wro4j,TestSassCssProcessor,shouldBeThreadSafe,non-flaky
elastic-job-lite,1,hbase,TestEmptyMetaInfo,testEmptyMetaInfo,flaky
elastic-job-lite,2,spring-boot,RepackagingTests,repackagingDisabledWithCustomRepackagedJarUsingStringJarTaskReference,flaky
elastic-job-lite,3,zxing,MaskUtilTestCase,testApplyMaskPenaltyRule3,non-flaky
elastic-job-lite,4,wro4j,TestDefaultWildcardStreamLocator,testWildcardPresent4,non-flaky
handlebars.java,1,hbase,TestStoreFile,testBasicHalfMapFile,flaky
handlebars.java,2,okhttp,URLConnectionTest,requestBodySurvivesRetriesWithFixedLength,flaky
handlebars.java,3,spring-boot,MixedMongoRepositoriesAutoConfigurationTests,testJpaRepositoryConfigurationWithMongoOverlap,non-flaky
handlebars.java,4,assertj-core,Objects_assertHasSameClassAs_Test,should_fail_if_actual_is_null,non-flaky
hbase,1,http-request,HttpRequestTest,getWithVarargsQueryParams,flaky
hbase,2,spring-boot,WarPackagingTests,onlyJettyIsPackackedInWebInfLibProvided,flaky
hbase,3,ninja,UploadControllerTest,testThatUploadWorks,non-flaky
hbase,4,incubator-dubbo,ScriptRouterTest,testRouteReturnAll,non-flaky
hector,1,httpcore,TestThrottlingNHttpHandlers,testSimpleHttpPostsChunked,flaky
hector,2,wro4j,TestDispatcherStreamLocator,canLocateValidResource,flaky
hector,3,okhttp,BitArrayTest,shiftLeftExpandsData_VariableCapacity,non-flaky
hector,4,zxing,PDF417BlackBox2TestCase,testBlackBox,non-flaky
http-request,1,okhttp,ResponseCacheTest,responseCachingAndRedirects,flaky
http-request,2,alluxio,FileInStreamTest,readTest1,flaky
http-request,3,assertj-core,ByteArrays_assertNullOrEmpty_Test,should_fail_if_array_is_not_null_and_is_not_empty,non-flaky
http-request,4,incubator-dubbo,ConditionRouterTest,testRoute_methodRoute,non-flaky
httpcore,1,okhttp,URLConnectionTest,responseHeaders,flaky
httpcore,2,ambari,AmbariManagementControllerTest,testCreateServiceComponentMultiple,flaky
httpcore,3,assertj-core,Dates_assertIsEqualWithPrecision_Test,should_pass_if_day_not_equal,non-flaky
httpcore,4,undertow,SimpleParserTestCase,testTabWhitespace,non-flaky
incubator-dubbo,1,okhttp,ResponseCacheTest,clientPrematureDisconnectWithContentLengthHeader,flaky
incubator-dubbo,2,alluxio,FileInStreamTest,readTest1,flaky
incubator-dubbo,3,assertj-core,Shorts_assertGreaterThanOrEqualTo_Test,should_pass_if_actual_is_equal_to_other,non-flaky
incubator-dubbo,4,logback,AppenderAttachableImplTest,getGetAppender,non-flaky
java-websocket,1,wildfly,TransactionSubsystemTestCase,testRejectTransformersEAP700,flaky
java-websocket,2,ambari,AmbariManagementControllerTest,testCreateServiceComponentMultiple,flaky
java-websocket,3,assertj-core,Arrays_isNullOrEmpty_Test,should_return_true_if_array_is_null,non-flaky
java-websocket,4,httpcore,TestBasicHttpParams,testRemoveParam,non-flaky
logback,1,okhttp,URLConnectionTest,responseHeaders,flaky
logback,2,ambari,AmbariManagementControllerTest,testCreateServiceComponentMultiple,flaky
logback,3,activiti,RuntimeServiceTest,testSetVariableUnexistingExecutionId,non-flaky
logback,4,achilles,PersistenceContextFactoryTest,should_create_new_context_for_entity,non-flaky
ninja,1,hbase,TestScanner,testScanAndRealConcurrentFlush,flaky
ninja,2,okhttp,URLConnectionTest,requestBodySurvivesRetriesWithFixedLength,flaky
ninja,3,spring-boot,BasicErrorControllerMockMvcTests,testErrorWithResponseStatus,non-flaky
ninja,4,assertj-core,LongArrayAssert_containsOnly_Test,should_return_this,non-flaky
okhttp,1,java-websocket,Issue256Test,runReconnectBlockingScenario5,flaky
okhttp,2,spring-boot,EndpointWebMvcAutoConfigurationTests,portPropertiesOnSamePort,flaky
okhttp,3,spring-boot,BeanDefinitionLoaderTests,loadGroovyName,non-flaky
okhttp,4,activiti,DataObjectConverterTest,convertModelToXML,non-flaky
orbit,1,alluxio,TachyonFSTest,lockBlockTest4,flaky
orbit,2,hbase,TestScanner,testStopRow,flaky
orbit,3,activiti,MultiInstanceTest,testNestedParallelSubProcess,non-flaky
orbit,4,assertj-core,IterableAssert_usingFieldByFieldElementComparator_Test,failed_isIn_assertion_using_field_by_field_element_comparator,non-flaky
spring-boot,1,alluxio,FileOutStreamTest,writeTest2,flaky
spring-boot,2,ambari,AmbariManagementControllerTest,testDeleteUsers,flaky
spring-boot,3,wro4j,TestInjector,shouldInjectDecoratedProcessor,non-flaky
