baseline,project,threshold_policy,selected_threshold,calibration_projects,TP,FN,FP,TN,precision,recall,f1,auc,num_selected_features
flakeflagger,achilles,source_only_cv,0.55,"http-request,ninja,orbit,undertow,zxing",0,4,5,1307,0.0,0.0,0.0,0.5257240853658536,13
vocabulary_flakeflagger,achilles,source_only_cv,0.4,"http-request,ninja,orbit,undertow,zxing",0,4,2,1310,0.0,0.0,0.0,0.5086699695121951,34
flakeflagger,activiti,source_only_cv,0.3,"ambari,handlebars.java,logback,ninja,spring-boot",31,1,1589,420,0.0191358024691358,0.96875,0.0375302663438256,0.615379230960677,15
vocabulary_flakeflagger,activiti,source_only_cv,0.55,"ambari,handlebars.java,logback,ninja,spring-boot",0,32,3,2006,0.0,0.0,0.0,0.6860378297660528,37
flakeflagger,alluxio,source_only_cv,0.3,"hector,incubator-dubbo,java-websocket,logback,undertow",93,23,2,69,0.9789473684210528,0.8017241379310345,0.8815165876777251,0.9679456046624576,7
vocabulary_flakeflagger,alluxio,source_only_cv,0.3,"hector,incubator-dubbo,java-websocket,logback,undertow",91,25,1,70,0.9891304347826086,0.7844827586206896,0.875,0.98300145701797,11
flakeflagger,ambari,source_only_cv,0.3,"activiti,handlebars.java,spring-boot,undertow,wildfly",43,3,73,194,0.3706896551724138,0.9347826086956522,0.5308641975308642,0.8438365087119362,12
vocabulary_flakeflagger,ambari,source_only_cv,0.35,"activiti,handlebars.java,spring-boot,undertow,wildfly",43,3,65,202,0.3981481481481481,0.9347826086956522,0.5584415584415584,0.8851164305487705,28
flakeflagger,assertj-core,source_only_cv,0.4,"alluxio,hbase,http-request,httpcore,wildfly",0,1,4,6200,0.0,0.0,0.0,0.436250805931657,12
vocabulary_flakeflagger,assertj-core,source_only_cv,0.35,"alluxio,hbase,http-request,httpcore,wildfly",0,1,2,6202,0.0,0.0,0.0,0.7148613797549968,28
flakeflagger,commons-exec,source_only_cv,0.3,"activiti,hbase,httpcore,spring-boot,zxing",0,1,4,50,0.0,0.0,0.0,0.8888888888888888,13
vocabulary_flakeflagger,commons-exec,source_only_cv,0.4,"activiti,hbase,httpcore,spring-boot,zxing",0,1,3,51,0.0,0.0,0.0,0.9074074074074074,28
flakeflagger,elastic-job-lite,source_only_cv,0.3,"assertj-core,hector,ninja,orbit,spring-boot",0,3,2,553,0.0,0.0,0.0,0.8069069069069068,13
vocabulary_flakeflagger,elastic-job-lite,source_only_cv,0.3,"assertj-core,hector,ninja,orbit,spring-boot",0,3,0,555,0.0,0.0,0.0,0.2615615615615615,28
flakeflagger,handlebars.java,source_only_cv,0.5,"activiti,ambari,ninja,okhttp,wildfly",0,1,1,349,0.0,0.0,0.0,0.7428571428571429,13
vocabulary_flakeflagger,handlebars.java,source_only_cv,0.6,"activiti,ambari,ninja,okhttp,wildfly",0,1,0,350,0.0,0.0,0.0,0.8514285714285714,28
flakeflagger,hbase,source_only_cv,0.4,"ambari,assertj-core,handlebars.java,undertow,wildfly",33,112,13,271,0.717391304347826,0.2275862068965517,0.3455497382198952,0.8188076736279749,13
vocabulary_flakeflagger,hbase,source_only_cv,0.65,"ambari,assertj-core,handlebars.java,undertow,wildfly",0,145,0,284,0.0,0.0,0.0,0.8131860126274891,25
