threshold,TN,FP,FN,TP,precision,recall,f1,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k
0.3,1672,450,51,171,0.2753623188405797,0.7702702702702703,0.40569395017793597,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.35,1674,448,70,152,0.25333333333333335,0.6846846846846847,0.3698296836982969,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.4,1675,447,86,136,0.2332761578044597,0.6126126126126126,0.33788819875776394,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.45,1678,444,107,115,0.20572450805008943,0.5180180180180181,0.29449423815621,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.5,1683,439,119,103,0.1900369003690037,0.46396396396396394,0.2696335078534031,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.55,1688,434,130,92,0.17490494296577946,0.4144144144144144,0.24598930481283424,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.6,1691,431,134,88,0.16955684007707128,0.3963963963963964,0.23751686909581649,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.65,1706,416,141,81,0.16297786720321933,0.36486486486486486,0.22531293463143257,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.7,1713,409,144,78,0.1601642710472279,0.35135135135135137,0.22002820874471085,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.75,1735,387,156,66,0.1456953642384106,0.2972972972972973,0.19555555555555554,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.8,1773,349,173,49,0.12311557788944724,0.22072072072072071,0.15806451612903225,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.85,1803,319,180,42,0.11634349030470914,0.1891891891891892,0.14408233276157803,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.9,1878,244,194,28,0.10294117647058823,0.12612612612612611,0.11336032388663966,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.3,6
0.3,1013,260,122,50,0.16129032258064516,0.29069767441860467,0.20746887966804978,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.35,1065,208,123,49,0.19066147859922178,0.28488372093023256,0.22843822843822842,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.4,1068,205,123,49,0.19291338582677164,0.28488372093023256,0.23004694835680753,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.45,1089,184,123,49,0.21030042918454936,0.28488372093023256,0.24197530864197533,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.5,1095,178,124,48,0.21238938053097345,0.27906976744186046,0.24120603015075376,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.55,1095,178,126,46,0.20535714285714285,0.26744186046511625,0.23232323232323232,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.6,1096,177,127,45,0.20270270270270271,0.2616279069767442,0.22842639593908629,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.65,1109,164,128,44,0.21153846153846154,0.2558139534883721,0.23157894736842105,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.7,1111,162,134,38,0.19,0.22093023255813954,0.20430107526881722,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.75,1137,136,135,37,0.2138728323699422,0.21511627906976744,0.21449275362318843,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.8,1140,133,137,35,0.20833333333333334,0.20348837209302326,0.20588235294117646,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.85,1177,96,137,35,0.26717557251908397,0.20348837209302326,0.23102310231023102,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.9,1251,22,142,30,0.5769230769230769,0.1744186046511628,0.26785714285714285,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.9,6
0.3,1691,387,135,55,0.1244343891402715,0.2894736842105263,0.17405063291139242,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.35,1693,385,147,43,0.10046728971962617,0.22631578947368422,0.13915857605177992,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.4,1694,384,155,35,0.08353221957040573,0.18421052631578946,0.1149425287356322,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.45,1697,381,157,33,0.07971014492753623,0.1736842105263158,0.10927152317880794,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.5,1699,379,159,31,0.07560975609756097,0.1631578947368421,0.10333333333333333,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.55,1707,371,163,27,0.0678391959798995,0.14210526315789473,0.09183673469387754,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.6,1713,365,169,21,0.054404145077720206,0.11052631578947368,0.07291666666666667,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.65,1716,362,172,18,0.04736842105263158,0.09473684210526316,0.06315789473684211,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.7,1723,355,172,18,0.04825737265415549,0.09473684210526316,0.06394316163410302,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.75,1735,343,172,18,0.04986149584487535,0.09473684210526316,0.06533575317604355,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.8,1758,320,172,18,0.05325443786982249,0.09473684210526316,0.06818181818181818,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.85,1820,258,172,18,0.06521739130434782,0.09473684210526316,0.07725321888412016,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.9,1907,171,173,17,0.09042553191489362,0.08947368421052632,0.08994708994708997,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.3,6
0.3,5912,73,86,37,0.33636363636363636,0.3008130081300813,0.3175965665236052,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.35,5916,69,92,31,0.31,0.25203252032520324,0.2780269058295964,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.4,5920,65,97,26,0.2857142857142857,0.21138211382113822,0.24299065420560748,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.45,5925,60,100,23,0.27710843373493976,0.18699186991869918,0.2233009708737864,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.5,5937,48,102,21,0.30434782608695654,0.17073170731707318,0.21875,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.55,5943,42,103,20,0.3225806451612903,0.16260162601626016,0.21621621621621623,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.6,5951,34,104,19,0.3584905660377358,0.15447154471544716,0.2159090909090909,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.65,5962,23,104,19,0.4523809523809524,0.15447154471544716,0.2303030303030303,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.7,5966,19,105,18,0.4864864864864865,0.14634146341463414,0.22499999999999998,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.75,5967,18,105,18,0.5,0.14634146341463414,0.22641509433962262,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
