threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,11335,71,111,32,0.3106796116504854,0.22377622377622378,0.26016260162601623,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,11341,65,112,31,0.3229166666666667,0.21678321678321677,0.25941422594142266,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,11344,62,112,31,0.3333333333333333,0.21678321678321677,0.2627118644067796,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,11348,58,112,31,0.34831460674157305,0.21678321678321677,0.2672413793103448,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,11353,53,112,31,0.36904761904761907,0.21678321678321677,0.27312775330396477,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,11363,43,112,31,0.4189189189189189,0.21678321678321677,0.2857142857142857,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,11365,41,112,31,0.4305555555555556,0.21678321678321677,0.2883720930232558,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,11370,36,113,30,0.45454545454545453,0.2097902097902098,0.28708133971291866,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,11372,34,118,25,0.423728813559322,0.17482517482517482,0.24752475247524755,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,11376,30,118,25,0.45454545454545453,0.17482517482517482,0.2525252525252525,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.75,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
