threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,10691,18,84,31,0.6326530612244898,0.26956521739130435,0.3780487804878049,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.35,10695,14,84,31,0.6888888888888889,0.26956521739130435,0.3875,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.4,10698,11,84,31,0.7380952380952381,0.26956521739130435,0.39490445859872614,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.45,10699,10,84,31,0.7560975609756098,0.26956521739130435,0.39743589743589747,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.5,10700,9,84,31,0.775,0.26956521739130435,0.39999999999999997,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.55,10701,8,84,31,0.7948717948717948,0.26956521739130435,0.40259740259740256,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.6,10701,8,84,31,0.7948717948717948,0.26956521739130435,0.40259740259740256,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.65,10703,6,84,31,0.8378378378378378,0.26956521739130435,0.40789473684210525,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.7,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.75,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.8,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.85,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.9,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.3,10691,18,84,31,0.6326530612244898,0.26956521739130435,0.3780487804878049,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.35,10691,18,84,31,0.6326530612244898,0.26956521739130435,0.3780487804878049,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.4,10698,11,84,31,0.7380952380952381,0.26956521739130435,0.39490445859872614,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.45,10698,11,84,31,0.7380952380952381,0.26956521739130435,0.39490445859872614,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.5,10699,10,84,31,0.7560975609756098,0.26956521739130435,0.39743589743589747,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.55,10702,7,85,30,0.8108108108108109,0.2608695652173913,0.39473684210526316,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.6,10702,7,85,30,0.8108108108108109,0.2608695652173913,0.39473684210526316,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.65,10702,7,91,24,0.7741935483870968,0.20869565217391303,0.32876712328767116,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.7,10703,6,91,24,0.8,0.20869565217391303,0.33103448275862074,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.75,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.8,10705,4,91,24,0.8571428571428571,0.20869565217391303,0.3356643356643356,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.75,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
