threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,10714,113,287,44,0.2802547770700637,0.13293051359516617,0.18032786885245902,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,10734,93,291,40,0.3007518796992481,0.12084592145015106,0.1724137931034483,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,10743,84,295,36,0.3,0.10876132930513595,0.15964523281596452,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,10751,76,298,33,0.30275229357798167,0.09969788519637462,0.15000000000000002,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,10757,70,300,31,0.3069306930693069,0.09365558912386707,0.14351851851851852,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,10761,66,304,27,0.2903225806451613,0.08157099697885196,0.12735849056603774,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,10765,62,312,19,0.2345679012345679,0.05740181268882175,0.09223300970873786,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,10770,57,314,17,0.22972972972972974,0.0513595166163142,0.08395061728395063,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,10772,55,314,17,0.2361111111111111,0.0513595166163142,0.08436724565756823,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,10779,48,317,14,0.22580645161290322,0.04229607250755287,0.07124681933842239,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,10781,46,317,14,0.23333333333333334,0.04229607250755287,0.07161125319693096,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,10783,44,318,13,0.22807017543859648,0.03927492447129909,0.06701030927835051,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,10788,39,323,8,0.1702127659574468,0.02416918429003021,0.042328042328042326,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,10718,109,258,73,0.4010989010989011,0.22054380664652568,0.2846003898635478,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,10733,94,260,71,0.4303030303030303,0.21450151057401812,0.28629032258064513,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,10736,91,265,66,0.42038216560509556,0.19939577039274925,0.27049180327868855,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,10744,83,277,54,0.39416058394160586,0.16314199395770393,0.23076923076923078,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,10749,78,282,49,0.3858267716535433,0.14803625377643503,0.21397379912663753,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"activiti,alluxio,assertj-core,hbase,http-request,incubator-dubbo",11158,ambari,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
