threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,5936,49,102,21,0.3,0.17073170731707318,0.21761658031088085,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,5941,44,102,21,0.3230769230769231,0.17073170731707318,0.22340425531914898,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,5944,41,102,21,0.3387096774193548,0.17073170731707318,0.22702702702702704,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,5946,39,104,19,0.3275862068965517,0.15447154471544716,0.2099447513812155,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,5946,39,105,18,0.3157894736842105,0.14634146341463414,0.19999999999999998,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,5947,38,105,18,0.32142857142857145,0.14634146341463414,0.2011173184357542,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,5947,38,107,16,0.2962962962962963,0.13008130081300814,0.1807909604519774,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,5949,36,107,16,0.3076923076923077,0.13008130081300814,0.18285714285714286,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,5956,29,107,16,0.35555555555555557,0.13008130081300814,0.19047619047619052,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,5960,25,108,15,0.375,0.12195121951219512,0.18404907975460122,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
