threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1682,440,119,103,0.18968692449355432,0.46396396396396394,0.269281045751634,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,1705,417,134,88,0.17425742574257425,0.3963963963963964,0.2420907840440165,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,1716,406,137,85,0.17311608961303462,0.38288288288288286,0.23842917251051896,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,1727,395,142,80,0.16842105263157894,0.36036036036036034,0.22955523672883787,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,1735,387,152,70,0.15317286652078774,0.3153153153153153,0.20618556701030924,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,1739,383,159,63,0.1412556053811659,0.28378378378378377,0.18862275449101798,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,1742,380,163,59,0.13439635535307518,0.26576576576576577,0.17851739788199697,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,1745,377,171,51,0.1191588785046729,0.22972972972972974,0.15692307692307692,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,1749,373,173,49,0.11611374407582939,0.22072072072072071,0.15217391304347827,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,1751,371,173,49,0.11666666666666667,0.22072072072072071,0.1526479750778816,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.8,1756,366,178,44,0.1073170731707317,0.1981981981981982,0.13924050632911392,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.85,1781,341,180,42,0.10966057441253264,0.1891891891891892,0.13884297520661157,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.9,1917,205,184,38,0.15637860082304528,0.17117117117117117,0.16344086021505377,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.3,1725,397,129,93,0.18979591836734694,0.4189189189189189,0.2612359550561798,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,1731,391,130,92,0.19047619047619047,0.4144144144144144,0.26099290780141843,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,1735,387,143,79,0.16952789699570817,0.35585585585585583,0.22965116279069767,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,1735,387,155,67,0.14757709251101322,0.30180180180180183,0.19822485207100593,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,1737,385,157,65,0.14444444444444443,0.2927927927927928,0.19345238095238093,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,1743,379,162,60,0.1366742596810934,0.2702702702702703,0.18154311649016644,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,1746,376,171,51,0.11943793911007025,0.22972972972972974,0.15716486902927582,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,1753,369,172,50,0.11933174224343675,0.22522522522522523,0.15600624024960996,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,1755,367,175,47,0.11352657004830918,0.21171171171171171,0.14779874213836477,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,1757,365,177,45,0.10975609756097561,0.20270270270270271,0.14240506329113922,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.8,1770,352,178,44,0.1111111111111111,0.1981981981981982,0.1423948220064725,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.85,1902,220,182,40,0.15384615384615385,0.18018018018018017,0.16597510373443983,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.85,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.9,1990,132,187,35,0.20958083832335328,0.15765765765765766,0.17994858611825193,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.9,"elastic-job-lite,handlebars.java,hbase,hector,http-request,httpcore",2344,commons-exec,0.9,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
