threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1168,453,101,119,0.20804195804195805,0.5409090909090909,0.3005050505050505,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1186,435,113,107,0.1974169741697417,0.4863636363636364,0.28083989501312334,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1193,428,123,97,0.18476190476190477,0.4409090909090909,0.26040268456375837,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1210,411,136,84,0.1696969696969697,0.38181818181818183,0.23496503496503499,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,1216,405,144,76,0.158004158004158,0.34545454545454546,0.2168330955777461,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,1223,398,152,68,0.1459227467811159,0.3090909090909091,0.19825072886297376,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,1233,388,153,67,0.14725274725274726,0.30454545454545456,0.1985185185185185,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,1236,385,158,62,0.13870246085011187,0.2818181818181818,0.18590704647676162,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,1239,382,167,53,0.12183908045977011,0.2409090909090909,0.1618320610687023,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,1250,371,170,50,0.1187648456057007,0.22727272727272727,0.15600624024961,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,1255,366,173,47,0.11380145278450363,0.21363636363636362,0.1484992101105845,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
