threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1411,415,140,82,0.16498993963782696,0.36936936936936937,0.22809457579972187,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,1434,392,152,70,0.15151515151515152,0.3153153153153153,0.20467836257309943,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,1447,379,161,61,0.13863636363636364,0.2747747747747748,0.1842900302114804,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,1454,372,166,56,0.1308411214953271,0.25225225225225223,0.17230769230769227,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,1459,367,168,54,0.12826603325415678,0.24324324324324326,0.16796267496111975,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,1470,356,172,50,0.12315270935960591,0.22522522522522523,0.15923566878980894,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,1473,353,178,44,0.11083123425692695,0.1981981981981982,0.1421647819063005,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,1483,343,181,41,0.10677083333333333,0.18468468468468469,0.1353135313531353,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,1509,317,181,41,0.11452513966480447,0.18468468468468469,0.14137931034482756,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,1569,257,185,37,0.12585034013605442,0.16666666666666666,0.14341085271317827,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.8,1589,237,186,36,0.13186813186813187,0.16216216216216217,0.14545454545454548,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.85,1598,228,186,36,0.13636363636363635,0.16216216216216217,0.14814814814814814,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.9,1645,181,186,36,0.16589861751152074,0.16216216216216217,0.16400911161731208,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.3,1440,386,124,98,0.2024793388429752,0.44144144144144143,0.27762039660056653,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,1448,378,138,84,0.18181818181818182,0.3783783783783784,0.2456140350877193,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,1457,369,144,78,0.174496644295302,0.35135135135135137,0.23318385650224213,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,1513,313,164,58,0.15633423180592992,0.26126126126126126,0.19561551433389546,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,1547,279,173,49,0.14939024390243902,0.22072072072072071,0.1781818181818182,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,1555,271,174,48,0.15047021943573669,0.21621621621621623,0.17744916820702406,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,1560,266,177,45,0.14469453376205788,0.20270270270270271,0.16885553470919323,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,1570,256,177,45,0.14950166112956811,0.20270270270270271,0.17208413001912046,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,1579,247,181,41,0.1423611111111111,0.18468468468468469,0.16078431372549018,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,1615,211,185,37,0.14919354838709678,0.16666666666666666,0.1574468085106383,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.35,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
