threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1230,43,38,134,0.7570621468926554,0.7790697674418605,0.7679083094555875,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1236,37,41,131,0.7797619047619048,0.7616279069767442,0.7705882352941177,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1236,37,43,129,0.7771084337349398,0.75,0.7633136094674557,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1242,31,45,127,0.8037974683544303,0.7383720930232558,0.7696969696969697,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,1242,31,46,126,0.802547770700637,0.7325581395348837,0.7659574468085106,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,1242,31,46,126,0.802547770700637,0.7325581395348837,0.7659574468085106,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,1242,31,53,119,0.7933333333333333,0.6918604651162791,0.7391304347826088,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,1243,30,55,117,0.7959183673469388,0.6802325581395349,0.7335423197492162,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,1243,30,57,115,0.7931034482758621,0.6686046511627907,0.7255520504731863,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,1243,30,63,109,0.7841726618705036,0.6337209302325582,0.7009646302250804,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"alluxio,commons-exec,elastic-job-lite,handlebars.java,hector,http-request",1445,hbase,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
