threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1742,336,81,109,0.2449438202247191,0.5736842105263158,0.3433070866141732,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.35,1768,310,92,98,0.24019607843137256,0.5157894736842106,0.3277591973244147,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.4,1786,292,109,81,0.21715817694369974,0.4263157894736842,0.2877442273534636,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.45,1811,267,129,61,0.18597560975609756,0.32105263157894737,0.23552123552123552,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.5,1826,252,138,52,0.17105263157894737,0.2736842105263158,0.21052631578947367,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.55,1837,241,149,41,0.1453900709219858,0.21578947368421053,0.17372881355932202,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.6,1883,195,162,28,0.12556053811659193,0.14736842105263157,0.13559322033898305,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.65,1923,155,168,22,0.12429378531073447,0.11578947368421053,0.11989100817438693,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.7,1940,138,172,18,0.11538461538461539,0.09473684210526316,0.10404624277456649,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
0.75,1982,96,178,12,0.1111111111111111,0.06315789473684211,0.08053691275167786,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,handlebars.java,hbase,http-request,httpcore",2268,hector,0.5,6,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0
