threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1608,423,89,116,0.21521335807050093,0.5658536585365853,0.3118279569892473,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1622,409,96,109,0.21042471042471042,0.5317073170731708,0.301521438450899,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1625,406,97,108,0.21011673151750973,0.526829268292683,0.3004172461752434,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1630,401,98,107,0.2106299212598425,0.5219512195121951,0.30014025245441794,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,1635,396,99,106,0.21115537848605578,0.5170731707317073,0.2998585572842999,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,1638,393,112,93,0.19135802469135801,0.45365853658536587,0.2691751085383502,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,1658,373,120,85,0.185589519650655,0.4146341463414634,0.2564102564102564,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,1675,356,123,82,0.1872146118721461,0.4,0.255054432348367,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,1686,345,129,76,0.18052256532066507,0.37073170731707317,0.24281150159744402,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,1721,310,143,62,0.16666666666666666,0.3024390243902439,0.21490467937608315,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,1817,214,152,53,0.19850187265917604,0.25853658536585367,0.2245762711864407,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,1935,96,154,51,0.3469387755102041,0.24878048780487805,0.2897727272727273,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,2020,11,165,40,0.7843137254901961,0.1951219512195122,0.3125,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,1627,404,59,146,0.26545454545454544,0.7121951219512195,0.38675496688741723,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1633,398,59,146,0.26838235294117646,0.7121951219512195,0.38985313751668893,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1645,386,68,137,0.26195028680688337,0.6682926829268293,0.3763736263736264,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1647,384,79,126,0.24705882352941178,0.6146341463414634,0.35244755244755244,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,1649,382,83,122,0.24206349206349206,0.5951219512195122,0.34414668547249644,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,1662,369,86,119,0.24385245901639344,0.5804878048780487,0.3434343434343434,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,1672,359,127,78,0.17848970251716248,0.3804878048780488,0.24299065420560748,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,1696,335,132,73,0.17892156862745098,0.35609756097560974,0.2381729200652528,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,1749,282,137,68,0.19428571428571428,0.33170731707317075,0.24504504504504504,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,1850,181,154,51,0.21982758620689655,0.24878048780487805,0.2334096109839817,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,1912,119,155,50,0.2958579881656805,0.24390243902439024,0.26737967914438504,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,1954,77,169,36,0.3185840707964602,0.17560975609756097,0.22641509433962262,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.85,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,2017,14,181,24,0.631578947368421,0.11707317073170732,0.19753086419753088,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.9,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,1614,417,90,115,0.2161654135338346,0.5609756097560976,0.3120759837177748,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1630,401,97,108,0.21218074656188604,0.526829268292683,0.3025210084033614,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1636,395,103,102,0.2052313883299799,0.4975609756097561,0.2905982905982906,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1636,395,116,89,0.18388429752066116,0.43414634146341463,0.25834542815674894,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
