threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,3256,84,12,53,0.38686131386861317,0.8153846153846154,0.5247524752475248,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,3256,84,12,53,0.38686131386861317,0.8153846153846154,0.5247524752475248,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,3257,83,13,52,0.3851851851851852,0.8,0.52,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,3257,83,13,52,0.3851851851851852,0.8,0.52,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,3257,83,17,48,0.366412213740458,0.7384615384615385,0.489795918367347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,3257,83,17,48,0.366412213740458,0.7384615384615385,0.489795918367347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,3257,83,17,48,0.366412213740458,0.7384615384615385,0.489795918367347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,3257,83,17,48,0.366412213740458,0.7384615384615385,0.489795918367347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,3257,83,17,48,0.366412213740458,0.7384615384615385,0.489795918367347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,3257,83,19,46,0.35658914728682173,0.7076923076923077,0.4742268041237113,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.8,3258,82,19,46,0.359375,0.7076923076923077,0.4766839378238342,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.85,3260,80,39,26,0.24528301886792453,0.4,0.30409356725146197,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.9,3320,20,40,25,0.5555555555555556,0.38461538461538464,0.4545454545454546,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.3,3251,89,13,52,0.36879432624113473,0.8,0.5048543689320388,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,3256,84,13,52,0.38235294117647056,0.8,0.5174129353233832,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,3256,84,14,51,0.37777777777777777,0.7846153846153846,0.5100000000000001,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,3256,84,14,51,0.37777777777777777,0.7846153846153846,0.5100000000000001,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,3256,84,17,48,0.36363636363636365,0.7384615384615385,0.48730964467005067,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,3258,82,17,48,0.36923076923076925,0.7384615384615385,0.49230769230769234,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,3258,82,17,48,0.36923076923076925,0.7384615384615385,0.49230769230769234,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,3258,82,17,48,0.36923076923076925,0.7384615384615385,0.49230769230769234,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,3258,82,17,48,0.36923076923076925,0.7384615384615385,0.49230769230769234,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,3258,82,17,48,0.36923076923076925,0.7384615384615385,0.49230769230769234,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.9,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
