threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,7670,305,41,10,0.031746031746031744,0.19607843137254902,0.0546448087431694,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,7733,242,42,9,0.035856573705179286,0.17647058823529413,0.05960264900662252,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,7807,168,45,6,0.034482758620689655,0.11764705882352941,0.05333333333333334,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,7910,65,46,5,0.07142857142857142,0.09803921568627451,0.08264462809917354,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,7917,58,47,4,0.06451612903225806,0.0784313725490196,0.07079646017699115,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,7941,34,48,3,0.08108108108108109,0.058823529411764705,0.06818181818181818,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,7944,31,48,3,0.08823529411764706,0.058823529411764705,0.07058823529411765,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,7944,31,48,3,0.08823529411764706,0.058823529411764705,0.07058823529411765,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,7970,5,48,3,0.375,0.058823529411764705,0.10169491525423728,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,7970,5,48,3,0.375,0.058823529411764705,0.10169491525423728,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.8,7971,4,49,2,0.3333333333333333,0.0392156862745098,0.07017543859649122,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.85,7972,3,49,2,0.4,0.0392156862745098,0.07142857142857142,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.9,7972,3,49,2,0.4,0.0392156862745098,0.07142857142857142,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.3,7365,610,48,3,0.004893964110929853,0.058823529411764705,0.009036144578313253,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,7374,601,48,3,0.004966887417218543,0.058823529411764705,0.00916030534351145,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,7382,593,48,3,0.0050335570469798654,0.058823529411764705,0.009273570324574959,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,7388,587,48,3,0.005084745762711864,0.058823529411764705,0.0093603744149766,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,7537,438,49,2,0.004545454545454545,0.0392156862745098,0.008146639511201629,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,7702,273,49,2,0.007272727272727273,0.0392156862745098,0.012269938650306749,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,7739,236,49,2,0.008403361344537815,0.0392156862745098,0.01384083044982699,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"assertj-core,commons-exec,elastic-job-lite,handlebars.java,httpcore,java-websocket",8026,incubator-dubbo,0.6,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
