threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4025,147,158,62,0.2966507177033493,0.2818181818181818,0.2890442890442891,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4068,104,164,56,0.35,0.2545454545454545,0.29473684210526313,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4090,82,169,51,0.38345864661654133,0.2318181818181818,0.2889518413597733,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4105,67,173,47,0.41228070175438597,0.21363636363636362,0.28143712574850305,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4124,48,174,46,0.48936170212765956,0.20909090909090908,0.2929936305732484,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4131,41,174,46,0.5287356321839081,0.20909090909090908,0.29967426710097717,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.6,4137,35,175,45,0.5625,0.20454545454545456,0.3,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.65,4145,27,176,44,0.6197183098591549,0.2,0.3024054982817869,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.7,4154,18,182,38,0.6785714285714286,0.17272727272727273,0.2753623188405797,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.75,4162,10,186,34,0.7727272727272727,0.15454545454545454,0.25757575757575757,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"ninja,okhttp,orbit,spring-boot,undertow,wildfly",4392,logback,0.5,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
