threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4417,230,157,84,0.267515923566879,0.34854771784232363,0.30270270270270266,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4476,171,166,75,0.3048780487804878,0.3112033195020747,0.3080082135523614,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4521,126,176,65,0.3403141361256545,0.2697095435684647,0.30092592592592593,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4551,96,179,62,0.3924050632911392,0.2572614107883817,0.3107769423558897,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4568,79,186,55,0.41044776119402987,0.22821576763485477,0.29333333333333333,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4591,56,190,51,0.4766355140186916,0.21161825726141079,0.2931034482758621,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.6,4604,43,194,47,0.5222222222222223,0.1950207468879668,0.283987915407855,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.65,4621,26,199,42,0.6176470588235294,0.17427385892116182,0.27184466019417475,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.7,4625,22,206,35,0.6140350877192983,0.14522821576763487,0.2348993288590604,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.75,4631,16,218,23,0.5897435897435898,0.0954356846473029,0.16428571428571428,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,okhttp,orbit,spring-boot,undertow,wildfly",4888,ninja,0.4,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
