threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1509,213,127,88,0.292358803986711,0.40930232558139534,0.3410852713178295,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,1511,211,129,86,0.2895622895622896,0.4,0.3359375,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,1514,208,139,76,0.2676056338028169,0.35348837209302325,0.3046092184368737,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,1519,203,148,67,0.24814814814814815,0.3116279069767442,0.27628865979381445,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,1521,201,150,65,0.24436090225563908,0.3023255813953488,0.27027027027027023,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,1526,196,153,62,0.24031007751937986,0.28837209302325584,0.26215644820295986,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,1531,191,155,60,0.23904382470119523,0.27906976744186046,0.2575107296137339,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,1551,171,156,59,0.2565217391304348,0.2744186046511628,0.2651685393258427,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,1566,156,159,56,0.2641509433962264,0.26046511627906976,0.2622950819672131,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,1644,78,160,55,0.41353383458646614,0.2558139534883721,0.3160919540229885,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,1673,49,165,50,0.5050505050505051,0.23255813953488372,0.3184713375796179,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,1694,28,170,45,0.6164383561643836,0.20930232558139536,0.3125,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
