threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4593,281,155,80,0.22160664819944598,0.3404255319148936,0.26845637583892623,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4653,221,161,74,0.25084745762711863,0.3148936170212766,0.27924528301886786,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,4692,182,169,66,0.2661290322580645,0.28085106382978725,0.2732919254658385,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,4736,138,172,63,0.31343283582089554,0.2680851063829787,0.2889908256880734,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,4762,112,176,59,0.34502923976608185,0.251063829787234,0.29064039408866993,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,4778,96,178,57,0.37254901960784315,0.2425531914893617,0.2938144329896907,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,4807,67,178,57,0.4596774193548387,0.2425531914893617,0.31754874651810583,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,4827,47,183,52,0.5252525252525253,0.22127659574468084,0.31137724550898205,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,4842,32,189,46,0.5897435897435898,0.19574468085106383,0.29392971246006394,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,4855,19,194,41,0.6833333333333333,0.17446808510638298,0.27796610169491526,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,4865,9,215,20,0.6896551724137931,0.0851063829787234,0.15151515151515152,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,4866,8,224,11,0.5789473684210527,0.04680851063829787,0.08661417322834646,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,4868,6,224,11,0.6470588235294118,0.04680851063829787,0.0873015873015873,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,4723,151,153,82,0.351931330472103,0.34893617021276596,0.3504273504273504,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4758,116,160,75,0.39267015706806285,0.3191489361702128,0.35211267605633806,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"logback,ninja,okhttp,spring-boot,undertow,wildfly",5109,orbit,0.35,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
