threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,2832,186,102,58,0.23770491803278687,0.3625,0.2871287128712871,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,2872,146,110,50,0.25510204081632654,0.3125,0.2808988764044944,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,2908,110,116,44,0.2857142857142857,0.275,0.2802547770700637,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,2936,82,123,37,0.31092436974789917,0.23125,0.2652329749103943,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,2953,65,126,34,0.3434343434343434,0.2125,0.2625482625482625,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,2969,49,132,28,0.36363636363636365,0.175,0.23628691983122363,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,2983,35,136,24,0.4067796610169492,0.15,0.2191780821917808,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,2988,30,139,21,0.4117647058823529,0.13125,0.19905213270142183,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,2997,21,142,18,0.46153846153846156,0.1125,0.1809045226130653,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,3004,14,148,12,0.46153846153846156,0.075,0.12903225806451615,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,3009,9,148,12,0.5714285714285714,0.075,0.13259668508287292,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,3015,3,151,9,0.75,0.05625,0.10465116279069768,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,3015,3,153,7,0.7,0.04375,0.08235294117647059,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,2796,222,85,75,0.25252525252525254,0.46875,0.3282275711159737,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,2823,195,95,65,0.25,0.40625,0.30952380952380953,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"logback,ninja,okhttp,orbit,undertow,wildfly",3178,spring-boot,0.3,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
