threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4428,348,232,173,0.33205374280230326,0.4271604938271605,0.3736501079913607,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4465,311,243,162,0.34249471458773784,0.4,0.3690205011389522,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4488,288,252,153,0.3469387755102041,0.37777777777777777,0.3617021276595745,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4523,253,261,144,0.36272040302267,0.35555555555555557,0.35910224438902744,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4554,222,272,133,0.37464788732394366,0.32839506172839505,0.35000000000000003,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4569,207,286,119,0.36503067484662577,0.2938271604938272,0.3255813953488372,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.6,4601,175,295,110,0.38596491228070173,0.2716049382716049,0.3188405797101449,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.65,4622,154,306,99,0.391304347826087,0.24444444444444444,0.3009118541033435,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.7,4646,130,330,75,0.36585365853658536,0.18518518518518517,0.24590163934426226,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.75,4675,101,347,58,0.36477987421383645,0.14320987654320988,0.20567375886524825,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.8,4697,79,363,42,0.34710743801652894,0.1037037037037037,0.1596958174904943,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.85,4738,38,371,34,0.4722222222222222,0.08395061728395062,0.14255765199161427,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.9,4758,18,383,22,0.55,0.05432098765432099,0.09887640449438201,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.3,4460,316,247,158,0.3333333333333333,0.39012345679012345,0.3594994311717861,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4496,280,252,153,0.3533487297921478,0.37777777777777777,0.3651551312649165,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4524,252,261,144,0.36363636363636365,0.35555555555555557,0.3595505617977528,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4544,232,272,133,0.3643835616438356,0.32839506172839505,0.34545454545454546,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4555,221,282,123,0.35755813953488375,0.3037037037037037,0.32843791722296395,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4571,205,288,117,0.36335403726708076,0.28888888888888886,0.32187070151306735,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.6,4595,181,298,107,0.3715277777777778,0.2641975308641975,0.3088023088023088,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.65,4618,158,306,99,0.3852140077821012,0.24444444444444444,0.2990936555891239,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.7,4637,139,318,87,0.38495575221238937,0.21481481481481482,0.2757527733755943,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.75,4667,109,338,67,0.3806818181818182,0.1654320987654321,0.23063683304647162,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.8,4700,76,344,61,0.44525547445255476,0.1506172839506173,0.22509225092250928,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.85,4728,48,357,48,0.5,0.11851851851851852,0.19161676646706588,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.85,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.9,4759,17,373,32,0.6530612244897959,0.07901234567901234,0.1409691629955947,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.9,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.3,4433,343,260,145,0.29713114754098363,0.35802469135802467,0.3247480403135498,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4478,298,272,133,0.308584686774942,0.32839506172839505,0.3181818181818182,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4509,267,279,126,0.32061068702290074,0.3111111111111111,0.3157894736842105,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4540,236,282,123,0.3426183844011142,0.3037037037037037,0.3219895287958115,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4571,205,288,117,0.36335403726708076,0.28888888888888886,0.32187070151306735,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4613,163,294,111,0.4051094890510949,0.2740740740740741,0.3269513991163476,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.6,4637,139,301,104,0.4279835390946502,0.25679012345679014,0.3209876543209877,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.65,4674,102,305,100,0.49504950495049505,0.24691358024691357,0.3294892915980231,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.7,4693,83,326,79,0.4876543209876543,0.19506172839506172,0.2786596119929453,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.75,4712,64,350,55,0.46218487394957986,0.13580246913580246,0.2099236641221374,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.8,4735,41,366,39,0.4875,0.0962962962962963,0.16082474226804125,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.85,4748,28,385,20,0.4166666666666667,0.04938271604938271,0.08830022075055187,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.9,4761,15,396,9,0.375,0.022222222222222223,0.04195804195804196,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.3,4495,281,263,142,0.33569739952718675,0.3506172839506173,0.34299516908212563,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.3,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.35,4520,256,269,136,0.3469387755102041,0.3358024691358025,0.3412797992471769,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.35,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.4,4534,242,275,130,0.34946236559139787,0.32098765432098764,0.33462033462033464,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.4,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.45,4555,221,284,121,0.3538011695906433,0.29876543209876544,0.3239625167336011,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.45,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.5,4572,204,290,115,0.3605015673981191,0.2839506172839506,0.31767955801104975,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.5,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
0.55,4596,180,300,105,0.3684210526315789,0.25925925925925924,0.30434782608695654,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.55,"hbase,hector,logback,okhttp,spring-boot,wildfly",5181,undertow,0.3,6,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0
