threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4394,36,78,58,0.6170212765957447,0.4264705882352941,0.5043478260869566,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4401,29,81,55,0.6547619047619048,0.40441176470588236,0.5,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,4404,26,82,54,0.675,0.39705882352941174,0.5,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,4407,23,82,54,0.7012987012987013,0.39705882352941174,0.5070422535211268,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,4410,20,82,54,0.7297297297297297,0.39705882352941174,0.5142857142857142,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,4414,16,83,53,0.7681159420289855,0.3897058823529412,0.5170731707317073,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,4416,14,83,53,0.7910447761194029,0.3897058823529412,0.5221674876847291,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,4424,6,87,49,0.8909090909090909,0.3602941176470588,0.5130890052356021,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,4426,4,88,48,0.9230769230769231,0.35294117647058826,0.5106382978723405,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,4426,4,88,48,0.9230769230769231,0.35294117647058826,0.5106382978723405,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,4427,3,89,47,0.94,0.34558823529411764,0.5053763440860215,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,4427,3,93,43,0.9347826086956522,0.3161764705882353,0.47252747252747257,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,4427,3,95,41,0.9318181818181818,0.3014705882352941,0.45555555555555555,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,4383,47,82,54,0.5346534653465347,0.39705882352941174,0.4556962025316456,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4392,38,82,54,0.5869565217391305,0.39705882352941174,0.47368421052631576,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,4400,30,82,54,0.6428571428571429,0.39705882352941174,0.49090909090909085,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,4404,26,83,53,0.6708860759493671,0.3897058823529412,0.4930232558139535,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,4410,20,84,52,0.7222222222222222,0.38235294117647056,0.4999999999999999,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,4418,12,84,52,0.8125,0.38235294117647056,0.52,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,4423,7,84,52,0.8813559322033898,0.38235294117647056,0.5333333333333333,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,4424,6,85,51,0.8947368421052632,0.375,0.5284974093264247,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,4424,6,86,50,0.8928571428571429,0.36764705882352944,0.5208333333333335,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,4425,5,89,47,0.9038461538461539,0.34558823529411764,0.5,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,4426,4,90,46,0.92,0.3382352941176471,0.49462365591397855,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,4428,2,92,44,0.9565217391304348,0.3235294117647059,0.4835164835164836,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.85,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,4430,0,98,38,1.0,0.27941176470588236,0.4367816091954023,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.9,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,4393,37,82,54,0.5934065934065934,0.39705882352941174,0.47577092511013214,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4401,29,83,53,0.6463414634146342,0.3897058823529412,0.4862385321100917,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,4404,26,84,52,0.6666666666666666,0.38235294117647056,0.485981308411215,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,4408,22,85,51,0.6986301369863014,0.375,0.48803827751196166,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.5,4415,15,85,51,0.7727272727272727,0.375,0.504950495049505,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.55,4417,13,87,49,0.7903225806451613,0.3602941176470588,0.4949494949494949,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.6,4420,10,87,49,0.8305084745762712,0.3602941176470588,0.5025641025641026,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.65,4421,9,88,48,0.8421052631578947,0.35294117647058826,0.49740932642487046,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.7,4421,9,88,48,0.8421052631578947,0.35294117647058826,0.49740932642487046,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.75,4425,5,90,46,0.9019607843137255,0.3382352941176471,0.4919786096256685,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.8,4426,4,92,44,0.9166666666666666,0.3235294117647059,0.4782608695652174,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.85,4426,4,98,38,0.9047619047619048,0.27941176470588236,0.42696629213483145,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.9,4427,3,103,33,0.9166666666666666,0.2426470588235294,0.38372093023255816,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.3,4397,33,80,56,0.6292134831460674,0.4117647058823529,0.4977777777777777,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.3,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.35,4406,24,80,56,0.7,0.4117647058823529,0.5185185185185185,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.35,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.4,4409,21,80,56,0.7272727272727273,0.4117647058823529,0.5258215962441314,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.4,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
0.45,4410,20,82,54,0.7297297297297297,0.39705882352941174,0.5142857142857142,moderate_complexity,3.0,3,5.0,2.0,0.8,0.8,5.0,0.45,"logback,orbit,spring-boot,undertow,wro4j,zxing",4566,wildfly,0.6,6,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0
