threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,4180,102,99,44,0.3013698630136986,0.3076923076923077,0.3044982698961938,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,4208,74,100,43,0.36752136752136755,0.3006993006993007,0.3307692307692308,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,4229,53,100,43,0.4479166666666667,0.3006993006993007,0.35983263598326365,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,4242,40,103,40,0.5,0.27972027972027974,0.35874439461883406,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,4250,32,103,40,0.5555555555555556,0.27972027972027974,0.37209302325581395,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,4256,26,106,37,0.5873015873015873,0.25874125874125875,0.3592233009708738,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,4263,19,107,36,0.6545454545454545,0.2517482517482518,0.3636363636363637,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,4265,17,108,35,0.6730769230769231,0.24475524475524477,0.358974358974359,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,4267,15,108,35,0.7,0.24475524475524477,0.3626943005181347,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,4269,13,108,35,0.7291666666666666,0.24475524475524477,0.36649214659685864,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.8,4272,10,109,34,0.7727272727272727,0.23776223776223776,0.36363636363636365,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.85,4274,8,109,34,0.8095238095238095,0.23776223776223776,0.3675675675675676,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.9,4276,6,109,34,0.85,0.23776223776223776,0.3715846994535519,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.3,4142,140,99,44,0.2391304347826087,0.3076923076923077,0.26911314984709483,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,4174,108,100,43,0.2847682119205298,0.3006993006993007,0.2925170068027211,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,4195,87,101,42,0.32558139534883723,0.2937062937062937,0.3088235294117647,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,4213,69,104,39,0.3611111111111111,0.2727272727272727,0.31075697211155373,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,4228,54,104,39,0.41935483870967744,0.2727272727272727,0.33050847457627114,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,4239,43,106,37,0.4625,0.25874125874125875,0.33183856502242154,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,4246,36,106,37,0.5068493150684932,0.25874125874125875,0.34259259259259256,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,4251,31,106,37,0.5441176470588235,0.25874125874125875,0.35071090047393366,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,4258,24,106,37,0.6065573770491803,0.25874125874125875,0.3627450980392157,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,4263,19,106,37,0.6607142857142857,0.25874125874125875,0.37185929648241206,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.8,4267,15,107,36,0.7058823529411765,0.2517482517482518,0.37113402061855677,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.8,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.85,4269,13,111,32,0.7111111111111111,0.22377622377622378,0.3404255319148936,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.85,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.9,4272,10,119,24,0.7058823529411765,0.16783216783216784,0.2711864406779661,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.9,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.3,4166,116,99,44,0.275,0.3076923076923077,0.29042904290429045,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,4194,88,99,44,0.3333333333333333,0.3076923076923077,0.32,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wildfly,zxing",4425,wro4j,0.75,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
