threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,5014,43,97,60,0.5825242718446602,0.3821656050955414,0.46153846153846156,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.35,5027,30,99,58,0.6590909090909091,0.36942675159235666,0.473469387755102,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.4,5034,23,100,57,0.7125,0.3630573248407643,0.4810126582278481,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.45,5038,19,102,55,0.7432432432432432,0.3503184713375796,0.47619047619047616,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.5,5044,13,104,53,0.803030303030303,0.3375796178343949,0.4753363228699551,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.55,5046,11,104,53,0.828125,0.3375796178343949,0.4796380090497738,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.6,5047,10,104,53,0.8412698412698413,0.3375796178343949,0.48181818181818176,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.65,5049,8,106,51,0.864406779661017,0.3248407643312102,0.4722222222222222,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.7,5050,7,106,51,0.8793103448275862,0.3248407643312102,0.4744186046511627,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
0.75,5050,7,106,51,0.8793103448275862,0.3248407643312102,0.4744186046511627,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"logback,orbit,spring-boot,undertow,wildfly,wro4j",5214,zxing,0.55,6,lower_weight_regularized,2.0,3,10.0,5.0,0.8,0.8,10.0
