fraction,project,reference_tests,selected_source_projects,threshold,TP,FN,FP,TN
0.25,achilles,329,6,0.85,0,4,0,1312
0.25,activiti,511,6,0.6,0,32,13,1996
0.25,alluxio,47,6,0.3,90,26,12,59
0.25,ambari,79,6,0.3,8,38,15,252
0.25,assertj-core,1552,6,0.4,0,1,0,6204
0.25,commons-exec,14,6,0.35,1,0,0,54
0.25,elastic-job-lite,140,6,0.35,3,0,20,535
0.25,handlebars.java,88,6,0.3,1,0,1,349
0.25,hbase,108,6,0.9,3,142,17,267
0.25,hector,33,6,0.3,30,3,7,91
0.25,http-request,41,6,0.3,2,16,0,145
0.25,httpcore,178,6,0.85,14,8,8,682
0.25,incubator-dubbo,534,6,0.9,5,14,0,2114
0.25,java-websocket,37,6,0.5,0,23,0,122
0.25,logback,201,6,0.3,5,17,21,760
0.25,ninja,77,6,0.3,0,1,11,295
0.25,okhttp,202,6,0.4,17,83,33,675
0.25,orbit,22,6,0.5,0,7,0,79
0.25,spring-boot,505,6,0.35,1,81,21,1914
0.25,undertow,46,6,0.3,6,1,24,150
0.25,wildfly,249,6,0.3,5,18,17,953
0.25,wro4j,284,6,0.8,8,8,1,1117
0.25,zxing,87,6,0.7,0,2,1,342
0.5,achilles,658,6,0.85,0,4,0,1312
0.5,activiti,1021,6,0.6,0,32,22,1987
0.5,alluxio,94,6,0.3,68,48,0,71
0.5,ambari,157,6,0.3,3,43,4,263
0.5,assertj-core,3103,6,0.4,0,1,0,6204
0.5,commons-exec,28,6,0.35,1,0,0,54
0.5,elastic-job-lite,279,6,0.35,3,0,19,536
0.5,handlebars.java,176,6,0.3,1,0,0,350
0.5,hbase,215,6,0.9,60,85,13,271
0.5,hector,66,6,0.3,31,2,9,89
0.5,http-request,82,6,0.3,11,7,0,145
0.5,httpcore,356,6,0.85,14,8,17,673
0.5,incubator-dubbo,1067,6,0.9,4,15,0,2114
0.5,java-websocket,73,6,0.5,0,23,0,122
0.5,logback,402,6,0.3,13,9,30,751
0.5,ninja,154,6,0.3,1,0,9,297
0.5,okhttp,404,6,0.4,3,97,15,693
0.5,orbit,43,6,0.5,1,6,0,79
0.5,spring-boot,1009,6,0.35,24,58,27,1908
0.5,undertow,91,6,0.3,6,1,42,132
0.5,wildfly,497,6,0.3,6,17,15,955
0.5,wro4j,567,6,0.8,0,16,0,1118
0.5,zxing,173,6,0.7,0,2,1,342
0.75,achilles,987,6,0.85,0,4,0,1312
0.75,activiti,1531,6,0.6,0,32,12,1997
0.75,alluxio,141,6,0.3,91,25,0,71
0.75,ambari,235,6,0.3,14,32,24,243
0.75,assertj-core,4654,6,0.4,0,1,0,6204
0.75,commons-exec,42,6,0.35,1,0,0,54
0.75,elastic-job-lite,419,6,0.35,3,0,19,536
0.75,handlebars.java,264,6,0.3,1,0,0,350
0.75,hbase,322,6,0.9,54,91,13,271
0.75,hector,99,6,0.3,31,2,10,88
0.75,http-request,123,6,0.3,11,7,0,145
0.75,httpcore,534,6,0.85,14,8,7,683
0.75,incubator-dubbo,1600,6,0.9,13,6,0,2114
0.75,java-websocket,109,6,0.5,0,23,0,122
0.75,logback,603,6,0.3,4,18,22,759
0.75,ninja,231,6,0.3,1,0,9,297
0.75,okhttp,606,6,0.4,9,91,8,700
0.75,orbit,65,6,0.5,0,7,0,79
0.75,spring-boot,1513,6,0.35,8,74,2,1933
0.75,undertow,136,6,0.3,6,1,37,137
0.75,wildfly,745,6,0.3,5,18,8,962
0.75,wro4j,851,6,0.8,10,6,1,1117
0.75,zxing,259,6,0.7,1,1,1,342
