project,CoDA_TP,CoDA_FN,CoDA_FP,FF_TP,Vocab_TP,FF_FN,Vocab_FN,FF_FP,Vocab_FP,Flakify_TP,Flakify_FN,Flakify_FP,DeepFlaky_TP,DeepFlaky_FN,DeepFlaky_FP,CoDA_f1,FF_f1,Vocab_f1,Flakify_f1,DeepFlaky_f1
achilles,0,4,0,0,0,4,4,5,2,0,4,0,0,4,78,0.0,0.0,0.0,0.0,0.0
activiti,0,32,26,31,0,1,32,1589,3,14,18,292,14,18,144,0.0,0.03753026634382567,0.0,0.08284023668639054,0.14736842105263157
alluxio,82,34,29,93,91,23,25,2,1,63,53,5,63,53,0,0.7224669603524229,0.8815165876777251,0.875,0.6847826086956522,0.7039106145251397
ambari,34,12,0,43,43,3,3,73,65,15,31,27,45,1,62,0.85,0.5308641975308642,0.5584415584415584,0.3409090909090909,0.5882352941176471
assertj-core,0,1,0,0,0,1,1,4,2,0,1,0,1,0,4172,0.0,0.0,0.0,0.0,0.0004791566842357451
commons-exec,1,0,0,0,0,1,1,4,3,1,0,18,1,0,1,1.0,0.0,0.0,0.1,0.6666666666666666
elastic-job-lite,3,0,18,0,0,3,3,2,0,1,2,21,3,0,8,0.25,0.0,0.0,0.08,0.42857142857142855
handlebars.java,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,1.0
hbase,120,25,43,33,0,112,145,13,0,49,96,21,38,107,17,0.7792207792207793,0.34554973821989526,0.0,0.4558139534883721,0.38
hector,31,2,21,0,0,33,33,0,2,9,24,20,1,32,0,0.7294117647058823,0.0,0.0,0.2903225806451613,0.058823529411764705
http-request,12,6,0,0,0,18,18,0,0,0,18,19,1,17,0,0.8,0.0,0.0,0.0,0.10526315789473684
httpcore,5,17,3,4,10,18,12,7,7,9,13,37,14,8,2,0.3333333333333333,0.24242424242424243,0.5128205128205128,0.2647058823529412,0.7368421052631579
incubator-dubbo,17,2,1,0,1,19,18,27,12,6,13,54,17,2,6,0.918918918918919,0.0,0.0625,0.1518987341772152,0.8095238095238095
java-websocket,0,23,0,0,0,23,23,0,4,20,3,1,22,1,9,0.0,0.0,0.0,0.9090909090909091,0.8148148148148148
logback,4,18,11,0,0,22,22,26,30,5,17,13,17,5,3,0.21621621621621623,0.0,0.0,0.25,0.8095238095238095
ninja,1,0,3,1,0,0,1,14,4,1,0,14,1,0,0,0.4,0.125,0.0,0.125,1.0
okhttp,9,91,11,0,0,100,100,0,8,3,97,18,2,98,3,0.15,0.0,0.0,0.049586776859504134,0.0380952380952381
orbit,0,7,2,0,0,7,7,2,0,1,6,2,0,7,0,0.0,0.0,0.0,0.2,0.0
spring-boot,31,51,46,5,9,77,73,195,171,17,65,74,30,52,2,0.389937106918239,0.03546099290780142,0.06870229007633588,0.19653179190751446,0.5263157894736842
undertow,5,2,4,3,3,4,4,17,20,2,5,19,5,2,7,0.625,0.2222222222222222,0.2,0.14285714285714285,0.5263157894736842
wildfly,5,18,6,7,5,16,18,111,35,4,19,114,5,18,20,0.29411764705882354,0.09929078014184398,0.15873015873015872,0.05673758865248227,0.20833333333333334
wro4j,14,2,2,5,1,11,15,270,59,0,16,9,14,2,118,0.875,0.03436426116838488,0.02631578947368421,0.0,0.1891891891891892
zxing,0,2,2,0,0,2,2,44,42,0,2,9,1,1,2,0.0,0.0,0.0,0.0,0.4
